size,sample,time_naive,time_better,time_blas
10,0,1.679e-6,1.947e-6,1.506e-6
10,1,2.918e-6,2.294e-6,1.1263e-5
10,2,2.358e-6,2.024e-6,1.066e-6
10,3,2.401e-6,1.992e-6,5.5e-7
10,4,2.52e-6,2.477e-6,5.38e-7
10,5,2.38e-6,1.96e-6,5.6e-7
10,6,2.358e-6,1.982e-6,6.24e-7
10,7,2.465e-6,1.959e-6,6.67e-7
10,8,2.509e-6,2.52e-6,1.1284e-5
10,9,2.315e-6,2.455e-6,8.73e-7
60,0,0.000611194,0.000213702,2.1449e-5
60,1,0.000624997,0.000190768,1.8219e-5
60,2,0.000629929,0.000220819,1.894e-5
60,3,0.000591953,0.000212388,2.0221e-5
60,4,0.000622586,0.000271017,3.5608e-5
60,5,0.000594655,0.000216857,1.7702e-5
60,6,0.000598962,0.000200825,1.7486e-5
60,7,0.00062813,0.000185071,1.7788e-5
60,8,0.000590983,0.000180204,1.5645e-5
60,9,0.000595657,0.000190347,2.6003e-5
110,0,0.004122034,0.001240886,0.00011518
110,1,0.004154261,0.00141758,0.000228874
110,2,0.004133103,0.001249091,0.00011042
110,3,0.004182246,0.001252202,0.000125031
110,4,0.004287594,0.001040255,0.000126302
110,5,0.004080309,0.001363474,0.000114565
110,6,0.004143612,0.00121036,0.00011168
110,7,0.004122907,0.001182418,8.7173e-5
110,8,0.004091089,0.001338234,0.000113909
110,9,0.004094749,0.000931299,8.6527e-5
160,0,0.013757696,0.004415909,0.000222693
160,1,0.015020328,0.007032947,0.000213853
160,2,0.016135502,0.006205022,0.000210482
160,3,0.015789597,0.006155922,0.000231974
160,4,0.016224678,0.006068738,0.00020006
160,5,0.01514089,0.005645296,0.000361637
160,6,0.014278437,0.005547238,0.000325016
160,7,0.01533733,0.00546954,0.000209104
160,8,0.015017559,0.006128584,0.000266915
160,9,0.014362941,0.005648085,0.000199995
210,0,0.033047488,0.008933477,0.002386749
210,1,0.033441309,0.012391685,0.00036758
210,2,0.032769226,0.007955328,0.000343515
210,3,0.030939282,0.006938998,0.003247489
210,4,0.032874188,0.012554962,0.000359752
210,5,0.036784905,0.011899021,0.000403392
210,6,0.036878844,0.01335251,0.00038176
210,7,0.037697709,0.013832514,0.000460417
210,8,0.039838478,0.013604457,0.000421148
210,9,0.037832357,0.010198912,0.000393023
260,0,0.072156071,0.020754022,0.000740188
260,1,0.07143805,0.016165725,0.000478452
260,2,0.064320922,0.0132672,0.00049442
260,3,0.061647171,0.020788179,0.00056765
260,4,0.062671322,0.022414616,0.000533258
260,5,0.071643748,0.020726046,0.00066249
260,6,0.073095253,0.017354843,0.00061858
260,7,0.068270419,0.023013415,0.000802607
260,8,0.067199768,0.023500574,0.000767839
260,9,0.069034109,0.017652347,0.000585718
310,0,0.10558393,0.02301334,0.000864929
310,1,0.10773098,0.021275589,0.000882039
310,2,0.109690283,0.022052719,0.001290094
310,3,0.114938407,0.021210574,0.001156318
310,4,0.103631742,0.027440243,0.001532727
310,5,0.106495727,0.039265399,0.001014748
310,6,0.107954055,0.030554229,0.000897684
310,7,0.104229512,0.030640014,0.000934724
310,8,0.104345628,0.026771585,0.001066033
310,9,0.106428897,0.023758891,0.001000793
360,0,0.180493018,0.036249991,0.001361331
360,1,0.168296156,0.037333631,0.00260576
360,2,0.187150187,0.036823381,0.00112647
360,3,0.175698729,0.036605059,0.001270669
360,4,0.173847956,0.04102179,0.00183047
360,5,0.163893064,0.031005741,0.001972751
360,6,0.166100112,0.033608959,0.001173385
360,7,0.18370168,0.040977599,0.001895849
360,8,0.176541809,0.04530737,0.002188951
360,9,0.18223459,0.041334024,0.00169663
410,0,0.272226324,0.056051828,0.004323643
410,1,0.276335388,0.059083882,0.003652498
410,2,0.260211092,0.052888174,0.003520337
410,3,0.271269505,0.062093485,0.001554047
410,4,0.251773675,0.057169512,0.003740543
410,5,0.262991155,0.059559189,0.001631163
410,6,0.247171385,0.04700118,0.002938711
410,7,0.265891539,0.045591464,0.00174451
410,8,0.265139839,0.059941667,0.003816342
410,9,0.245506939,0.046118466,0.002348451
460,0,0.362963087,0.080507563,0.002340533
460,1,0.360994309,0.075765246,0.002152021
460,2,0.376082998,0.077190317,0.034479345
460,3,0.342224321,0.071805051,0.003548018
460,4,0.338380379,0.075055791,0.003539594
460,5,0.344793122,0.066278694,0.001850583
460,6,0.361430862,0.068359294,0.004238525
460,7,0.347507975,0.076586118,0.003529479
460,8,0.351047055,0.069183053,0.003397246
460,9,0.357657993,0.084127253,0.003699808
510,0,0.47513312,0.08862735,0.00372285
510,1,0.467839872,0.096025707,0.002401773
510,2,0.49028341,0.090306621,0.002673898
510,3,0.481627875,0.097256009,0.003405949
510,4,0.487252887,0.095864984,0.002746217
510,5,0.461191861,0.096650844,0.005427227
510,6,0.485024199,0.090705241,0.003025289
510,7,0.474666158,0.092897002,0.003311615
510,8,0.462076408,0.089109488,0.003649943
510,9,0.487761396,0.092270946,0.003848317
560,0,0.640461181,0.127053499,0.005600485
560,1,0.637073376,0.119619712,0.004492543
560,2,0.647910287,0.123808788,0.006184746
560,3,0.678886964,0.123387931,0.005613613
560,4,0.629989862,0.129452246,0.00515192
560,5,0.625383701,0.118512772,0.003953955
560,6,0.645285149,0.12338303,0.00446938
560,7,0.62175322,0.125980436,0.006875731
560,8,0.621906819,0.124760018,0.004700288
560,9,0.611186538,0.127243896,0.005786654
610,0,0.812406087,0.151793358,0.006619246
610,1,0.797336002,0.172964479,0.005575676
610,2,0.790242357,0.152627628,0.005165612
610,3,0.810607574,0.166695798,0.003595261
610,4,0.789745236,0.159066282,0.006330758
610,5,0.803908342,0.166562237,0.005614738
610,6,0.799495896,0.158434363,0.005573148
610,7,0.784155367,0.146954758,0.004652519
610,8,0.797138752,0.153993828,0.007871201
610,9,0.853382612,0.156685991,0.00479543
660,0,1.01794595,0.197318859,0.0061614
660,1,0.996601273,0.204178138,0.007321262
660,2,1.021972762,0.196098808,0.005832808
660,3,1.007012339,0.190430376,0.005107043
660,4,1.033399217,0.191337673,0.005128877
660,5,0.996197248,0.2102674,0.006060926
660,6,1.014803359,0.208157945,0.005329501
660,7,1.002671932,0.178078504,0.004951286
660,8,1.034465884,0.208603753,0.006862253
660,9,0.996303046,0.205455399,0.005587319
710,0,1.532795224,0.245040991,0.006913525
710,1,1.259375286,0.243192713,0.006285361
710,2,1.249896339,0.246332431,0.007721521
710,3,1.263578599,0.242227394,0.008041319
710,4,1.277943087,0.258598621,0.008939347
710,5,1.244219462,0.259632386,0.007964842
710,6,1.313327302,0.237199764,0.007390827
710,7,1.266903649,0.242130626,0.007504039
710,8,1.282900276,0.249882482,0.0085061
710,9,1.290512276,0.246920856,0.009804355
760,0,1.588651794,0.304516796,0.010352815
760,1,1.535819563,0.311636534,0.012166466
760,2,1.599838721,0.320432178,0.013995329
760,3,1.577645494,0.320553499,0.015580997
760,4,1.595158979,0.325221984,0.009974178
760,5,1.599190606,0.313274423,0.008548103
760,6,1.629194217,0.314154368,0.008544841
760,7,1.622517302,0.300687393,0.01638313
760,8,1.598244791,0.319599137,0.012826042
760,9,1.566823931,0.312510967,0.011750901
810,0,1.913041513,0.373036838,0.016011441
810,1,1.90150871,0.367355914,0.01020164
810,2,1.904238328,0.36919816,0.011948416
810,3,1.88654493,0.363325282,0.012542514
810,4,1.909586738,0.362271112,0.010894564
810,5,1.84021361,0.355736818,0.012513017
810,6,1.877956531,0.583628317,0.009784901
